,name,iata_code,iso_country,latitude,longitude
6804,Rafael Hernández International Airport,BQN,PR,18.4949,-67.129402
6805,Ticantiki Airport,TJC,PA,9.4185,-78.4896
6806,Benjamin Rivera Noriega Airport,CPX,PR,18.312954,-65.303893
6807,Fernando Luis Ribas Dominicci Airport,SIG,PR,18.45680046081543,-66.09809875488281
6808,Eugenio Maria De Hostos Airport,MAZ,PR,18.255699157714844,-67.14849853515625
6809,Mercedita Airport,PSE,PR,18.00830078125,-66.56300354003906
6810,José Aponte de la Torre Airport,NRR,PR,18.2453,-65.643402
6811,Luis Munoz Marin International Airport,SJU,PR,18.4393997192,-66.0018005371
6812,Antonio Rivera Rodriguez Airport,VQS,PR,18.1348,-65.493599
6813,Robert L. Bradshaw International Airport,SKB,KN,17.311199188232422,-62.71870040893555
6814,Vance W. Amory International Airport,NEV,KN,17.205699920654297,-62.58990097045898
6815,Tumolbil Airport,TLP,PG,-4.7748,141.0133
6816,George F. L. Charles Airport,SLU,LC,14.0202,-60.992901
6817,Hewanorra International Airport,UVF,LC,13.7332,-60.952599
6818,Tuluksak Airport,TLT,US,61.086973,-160.922842
6819,Kerki Airport,KEA,TM,37.822051,65.135279
6820,Queen Beatrix International Airport,AUA,AW,12.5014,-70.015198
6821,Flamingo International Airport,BON,BQ,12.131,-68.268501
6822,Hato International Airport,CUR,CW,12.1889,-68.959801
6823,F. D. Roosevelt Airport,EUX,BQ,17.49650001525879,-62.979400634765625
6824,Princess Juliana International Airport,SXM,SX,18.041,-63.108898
6825,Juancho E. Yrausquin Airport,SAB,BQ,17.645000457763672,-63.220001220703125
6826,Jumandy Airport,TNW,EC,-1.059722,-77.583333
6827,Torokina Airport,TOK,PG,-6.2015,155.063
6828,Port Alsworth Airport,PTA,US,60.201681,-154.325863
6829,Tapeta Airport,TPT,LR,6.4948,-8.873
6830,Clayton J Lloyd International Airport,AXA,AI,18.204773,-63.05383
6831,Bingöl Çeltiksuyu Airport,BGG,TR,38.8592605591,40.5959625244
6832,John A. Osborne Airport,MNI,MS,16.791400909423828,-62.19329833984375
6833,Tanacross Airport,TSG,US,63.3744010925,-143.335998535
6834,Tsile Tsile Airport,TSI,PG,-6.8498,146.3554
6835,Tobago-Crown Point Airport,TAB,TT,11.149700164794922,-60.83219909667969
6836,Piarco International Airport,POS,TT,10.5954,-61.3372
6837,Tum Airport,TUJ,ET,6.26,35.5184
6838,Captain Auguste George Airport,NGD,VG,18.727734,-64.32852
6839,Terrance B. Lettsome International Airport,EIS,VG,18.445492,-64.541707
6840,Virgin Gorda Airport,VIJ,VG,18.446399688720703,-64.42749786376953
6841,Argyle International Airport,SVD,VC,13.156695,-61.149945
6842,J F Mitchell Airport,BQU,VC,12.9884,-61.262001
6843,Canouan Airport,CIW,VC,12.699,-61.3424
6844,Mustique Airport,MQS,VC,12.8879,-61.180199
6845,Union Island International Airport,UNI,VC,12.600135,-61.411945
6846,Dongsha Island (Pratas Island) Airport,DSX,TW,20.7066,116.721001
6847,Qimei Airport,CMJ,TW,23.213127,119.417539
6848,Tumxuk Tangwangcheng Airport,TWC,CN,39.886663,79.233408
6849,L.F. Wade International International Airport,BDA,BM,32.36399841308594,-64.67870330810547
6850,Tyonek Airport,TYE,US,61.076556,-151.131363
6851,Mchauru Airport,GIT,TZ,-2.813667,32.172472
6852,Lushoto Airport,LUY,TZ,-4.783259868621826,38.30419921875
6853,Tsimiroro Airport,TZO,MG,-18.345064,45.015643
6854,Dubois Municipal Airport,DBS,US,44.162057,-112.220581
6855,Myrhorod Air Base,MXR,UA,49.932,33.641
6856,Kakhnovka Airfield,KHU,UA,49.136799,33.477893
6857,Almaty International Airport,ALA,KZ,43.354267,77.042828
6858,Balkhash Airport,BXH,KZ,46.8932991027832,75.00499725341797
6859,Boralday Airport,BXJ,KZ,43.352052,76.883039
6860,Taldykorgan Airport,TDK,KZ,45.12255,78.442758
6861,Nursultan Nazarbayev International Airport,NQZ,KZ,51.022202,71.466904
6862,Kokshetau Airport,KOV,KZ,53.329102,69.594597
6863,Petropavl Airport,PPK,KZ,54.774702,69.183273
6864,Taraz Airport,DMB,KZ,42.85359954833984,71.30359649658203
6865,Mount Aue Airport,UAE,PG,-6.23416666667,144.664722222
6866,Issyk-Kul International Airport,IKU,KG,42.585584,76.701181
6867,Manas International Airport,FRU,KG,43.0612983704,74.4776000977
6868,Osh Airport,OSS,KG,40.6090011597,72.793296814
6869,Shymkent Airport,CIT,KZ,42.364200592041016,69.47889709472656
6870,Hazrat Sultan International Airport,HSA,KZ,43.313126,68.549881
6871,Zhezkazgan National Airport,DZN,KZ,47.708953,67.738094
6872,Sary-Arka Airport,KGF,KZ,49.670799,73.334396
6873,Kyzylorda Airport,KZO,KZ,44.706902,65.592499
6874,Uralsk Airport,URA,KZ,51.15079879760742,51.54309844970703
6875,Ekibastuz Airport,EKB,KZ,51.59099960327149,75.21499633789062
6876,Ust-Kamenogorsk Airport,UKK,KZ,50.036571,82.493477
6877,Pavlodar Airport,PWQ,KZ,52.19499969482422,77.07389831542969
6878,Semey Airport,PLX,KZ,50.351295,80.234398
6879,Zaysan Airport,SZI,KZ,47.487491,84.887675
6880,Aktau Airport,SCO,KZ,43.860093,51.09086
6881,Atyrau International Airport,GUW,KZ,47.122559,51.819321
6882,Aktobe Airport,AKX,KZ,50.2458,57.206699
6883,Arkalyk North Airport,AYK,KZ,50.31859970092773,66.95279693603516
6884,Kostanay West Airport,KSN,KZ,53.20690155029297,63.55030059814453
6885,Heydar Aliyev International Airport,GYD,AZ,40.46749877929688,50.04669952392578
6886,Ganja International Airport,KVD,AZ,40.737701,46.3176
6887,Lankaran International Airport,LLK,AZ,38.757919,48.807042
